Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
512,Jalen Smith,PF,21,PHO,29,4,382,5.9,12.9,0.46,0.8,3.7,0.231,5.1,9.2,0.551,3.8,4.9,0.769,5.2,7.9,13.1,0.6,0.6,1.7,2.1,4.9,16.5,smithja04
512,Jalen Smith,PF,21,IND,22,4,543,7.5,14.1,0.531,2.1,5.5,0.373,5.4,8.6,0.631,2.5,3.3,0.76,3,8.1,11.1,1.2,0.6,1.5,1.3,2.9,19.6,smithja04
513,Xavier Sneed,SF,24,TOT,9,0,39,1.8,9.2,0.2,0.9,7.4,0.125,0.9,1.8,0.5,0,0,,1.8,3.7,5.5,0.9,0,0,0,1.8,4.6,sneedxa01
513,Xavier Sneed,SF,24,MEM,2,0,8,0,9,0,0,9,0,0,0,,0,0,,4.5,4.5,9,0,0,0,0,9,0,sneedxa01
513,Xavier Sneed,SF,24,UTA,7,0,31,2.3,9.3,0.25,1.2,7,0.167,1.2,2.3,0.5,0,0,,1.2,3.5,4.6,1.2,0,0,0,0,5.8,sneedxa01
514,Tony Snell,SG,30,TOT,53,12,822,3,7.5,0.404,2,5.6,0.352,1.1,1.9,0.558,0.2,0.2,1,0.7,3.8,4.5,1.2,0.7,0.4,0.8,3.1,8.2,snellto01
514,Tony Snell,SG,30,POR,38,10,546,2.4,6.4,0.371,1.6,4.9,0.32,0.8,1.5,0.545,0.2,0.2,1,0.7,4,4.7,1.3,0.5,0.5,0.7,2.9,6.5,snellto01
514,Tony Snell,SG,30,NOP,15,2,277,4.3,9.6,0.446,2.7,6.9,0.396,1.6,2.7,0.571,0.1,0.1,1,0.6,3.4,4,1,1,0.3,1,3.4,11.4,snellto01
515,Jaden Springer,SG,19,PHI,2,0,6,6,6,1,0,0,,6,6,1,0,0,,6,6,12,0,0,12,6,0,12,sprinja01
516,Cassius Stanley,SG,22,DET,9,1,155,4.4,10.7,0.413,0.9,3.9,0.235,3.5,6.7,0.517,2.3,2.3,1,1.2,3.3,4.4,0.9,1.2,0.5,1.4,3.9,12.1,stanlca01
517,Nik Stauskas,SG,28,TOT,8,0,39,4.6,12.9,0.357,3.7,9.2,0.4,0.9,3.7,0.25,3.7,5.5,0.667,0.9,1.8,2.8,1.8,0,0,0.9,0.9,16.6,stausni01
517,Nik Stauskas,SG,28,MIA,2,0,24,4.5,12,0.375,3,6,0.5,1.5,6,0.25,4.5,6,0.75,1.5,3,4.5,1.5,0,0,0,1.5,16.5,stausni01
517,Nik Stauskas,SG,28,BOS,6,0,15,4.8,14.4,0.333,4.8,14.4,0.333,0,0,,2.4,4.8,0.5,0,0,0,2.4,0,0,2.4,0,16.8,stausni01
518,Lance Stephenson,PG-SG,31,TOT,46,1,814,6.5,14.3,0.455,1.2,4,0.3,5.3,10.3,0.515,2.8,3.5,0.788,0.5,5.1,5.6,7.3,1.1,0.2,3.2,4.2,17,stephla01
518,Lance Stephenson,SG,31,ATL,6,0,70,2.6,6.7,0.385,0,1.5,0,2.6,5.1,0.5,0.5,1,0.5,0.5,7.2,7.7,5.7,0,0,2.1,4.1,5.7,stephla01
518,Lance Stephenson,PG,31,IND,40,1,744,6.9,15,0.458,1.3,4.2,0.31,5.6,10.8,0.516,3,3.8,0.795,0.5,4.9,5.4,7.5,1.2,0.2,3.3,4.3,18,stephla01
519,Lamar Stevens,PF,24,CLE,63,13,1015,5.5,11.3,0.489,0.6,2.3,0.277,4.9,9,0.543,1.9,2.7,0.707,1.7,4.1,5.8,1.6,1.1,0.6,1.5,3.8,13.6,stevela01
520,Isaiah Stewart,C,20,DET,71,71,1816,5,9.7,0.51,0.3,0.9,0.326,4.7,8.8,0.529,1.5,2,0.718,4.5,7.8,12.2,1.6,0.4,1.5,1.7,4.2,11.7,stewais01
