iter	Passed	Remaining
797	2162	547
798	2164	544
799	2166	541
800	2169	538
801	2171	536
802	2173	533
803	2176	530
804	2178	527
805	2180	524
806	2183	522
807	2186	519
808	2189	516
809	2192	514
810	2195	511
811	2197	508
812	2200	506
813	2203	503
814	2205	500
815	2208	497
816	2210	495
817	2212	492
818	2215	489
819	2217	486
820	2220	484
821	2222	481
822	2225	478
823	2227	475
824	2229	472
825	2232	470
826	2235	467
827	2237	464
828	2240	462
829	2242	459
830	2244	456
831	2247	453
832	2249	450
833	2251	448
834	2254	445
835	2256	442
836	2258	439
837	2261	437
838	2263	434
839	2265	431
840	2267	428
841	2270	426
842	2273	423
843	2275	420
844	2277	417
845	2280	415
846	2282	412
847	2284	409
848	2287	406
849	2289	403
850	2291	401
851	2294	398
852	2297	395
853	2299	393
854	2301	390
855	2303	387
856	2305	384
857	2307	381
858	2310	379
859	2312	376
860	2315	373
861	2317	371
862	2320	368
863	2322	365
864	2325	362
865	2327	360
866	2329	357
867	2332	354
868	2334	351
869	2336	349
870	2339	346
871	2341	343
872	2344	341
873	2346	338
874	2349	335
875	2351	332
876	2353	330
877	2356	327
878	2358	324
879	2361	321
880	2363	319
881	2366	316
882	2368	313
883	2369	310
884	2372	308
885	2374	305
886	2376	302
887	2379	300
888	2381	297
889	2383	294
890	2386	291
891	2389	289
892	2392	286
893	2394	283
894	2396	281
895	2399	278
896	2401	275
897	2404	273
898	2406	270
899	2409	267
900	2412	265
901	2415	262
902	2417	259
903	2420	257
904	2422	254
905	2424	251
906	2426	248
907	2429	246
908	2431	243
909	2434	240
910	2437	238
911	2439	235
912	2442	232
913	2444	230
914	2447	227
915	2449	224
916	2451	221
917	2454	219
918	2456	216
919	2458	213
920	2461	211
921	2463	208
922	2466	205
923	2468	203
924	2470	200
925	2473	197
926	2475	194
927	2478	192
928	2481	189
929	2484	186
930	2487	184
931	2490	181
932	2493	179
933	2495	176
934	2497	173
935	2500	170
936	2503	168
937	2506	165
938	2508	162
939	2511	160
940	2513	157
941	2516	154
942	2518	152
943	2521	149
944	2523	146
945	2526	144
946	2528	141
947	2531	138
948	2534	136
949	2536	133
950	2539	130
951	2541	128
952	2544	125
953	2546	122
954	2549	120
955	2551	117
956	2554	114
957	2556	112
958	2559	109
959	2561	106
960	2563	104
961	2566	101
962	2568	98
963	2578	96
964	2580	93
965	2582	90
966	2585	88
967	2587	85
968	2590	82
969	2592	80
970	2595	77
971	2598	74
972	2600	72
973	2603	69
974	2606	66
975	2608	64
976	2610	61
977	2613	58
978	2616	56
979	2618	53
980	2620	50
981	2623	48
982	2626	45
983	2628	42
984	2631	40
985	2633	37
986	2636	34
987	2638	32
988	2641	29
989	2644	26
990	2646	24
991	2648	21
992	2651	18
993	2653	16
994	2656	13
995	2659	10
996	2662	8
997	2664	5
998	2666	2
999	2669	0
